,pair,position,time,close,tp1,tp2,tp3,sl
0,AUD_USD,HOLD,2019-08-14 17:00:00,0.67508,0.67508,0.67508,0.67508,0.67508
1,BCO_USD,BUY,2019-08-15 15:00:00,58.255,61.06,62.94,65.28,57.32
2,BTC_USD,HOLD,2019-08-15 09:00:00,9945.0,9945.0,9945.0,9945.0,9945.0
3,DE30_EUR,HOLD,2019-08-15 11:00:00,11440.8,11440.8,11440.8,11440.8,11440.8
4,EUR_AUD,BUY,2019-08-16 13:00:00,1.63409,1.64855,1.65819,1.67023,1.62927
5,EUR_JPY,BUY,2019-08-14 23:00:00,118.024,119.24,120.06,121.08,117.62
6,EUR_USD,HOLD,2019-08-16 14:00:00,1.11054,1.11054,1.11054,1.11054,1.11054
7,GBP_JPY,BUY,2019-08-13 13:00:00,128.767,130.48,131.63,133.06,128.19
8,GBP_USD,BUY,2019-08-15 11:00:00,1.2133,1.22208,1.22794,1.23525,1.21037
9,NAS100_USD,HOLD,2019-08-15 11:00:00,7516.2,7516.2,7516.2,7516.2,7516.2
10,SPX500_USD,HOLD,2019-08-15 11:00:00,2855.8,2855.8,2855.8,2855.8,2855.8
11,US30_USD,HOLD,2019-08-15 11:00:00,25584.2,25584.2,25584.2,25584.2,25584.2
12,USD_CAD,HOLD,2019-08-16 17:00:00,1.32724,1.32724,1.32724,1.32724,1.32724
13,USD_JPY,BUY,2019-08-13 13:00:00,106.548,107.8,108.64,109.68,106.13
14,XAU_USD,BUY,2019-08-13 14:00:00,1504.561,1548.47,1577.75,1614.35,1489.92
